iter	Passed	Remaining
756	938	301
757	940	300
758	941	298
759	942	297
760	943	296
761	944	295
762	945	293
763	946	292
764	947	291
765	949	289
766	950	288
767	951	287
768	952	286
769	953	284
770	954	283
771	955	282
772	956	280
773	958	279
774	959	278
775	960	277
776	961	276
777	962	274
778	963	273
779	965	272
780	966	270
781	968	269
782	969	268
783	969	267
784	970	265
785	971	264
786	972	263
787	973	261
788	974	260
789	975	259
790	976	258
791	978	256
792	979	255
793	981	254
794	982	253
795	983	252
796	984	250
797	985	249
798	986	248
799	987	246
800	988	245
801	989	244
802	990	243
803	992	241
804	993	240
805	993	239
806	994	237
807	995	236
808	996	235
809	997	233
810	998	232
811	999	231
812	1000	230
813	1000	228
814	1002	227
815	1003	226
816	1004	225
817	1006	223
818	1007	222
819	1008	221
820	1009	220
821	1010	218
822	1011	217
823	1012	216
824	1013	214
825	1013	213
826	1014	212
827	1015	210
828	1016	209
829	1017	208
830	1018	207
831	1019	205
832	1020	204
833	1022	203
834	1024	202
835	1025	201
836	1026	199
837	1027	198
838	1028	197
839	1029	196
840	1029	194
841	1030	193
842	1032	192
843	1033	191
844	1034	189
845	1035	188
846	1037	187
847	1038	186
848	1039	184
849	1040	183
850	1040	182
851	1041	180
852	1042	179
853	1043	178
854	1044	177
855	1045	175
856	1047	174
857	1048	173
858	1049	172
859	1050	171
860	1051	169
861	1052	168
862	1053	167
863	1054	165
864	1055	164
865	1056	163
866	1057	162
867	1057	160
868	1058	159
869	1059	158
870	1061	157
871	1062	155
872	1063	154
873	1064	153
874	1065	152
875	1066	150
876	1067	149
877	1068	148
878	1069	147
879	1070	145
880	1071	144
881	1071	143
882	1072	142
883	1073	140
884	1074	139
885	1076	138
886	1078	137
887	1079	136
888	1080	134
889	1081	133
890	1082	132
891	1083	131
892	1084	129
893	1085	128
894	1086	127
895	1086	126
896	1088	124
897	1089	123
898	1090	122
899	1092	121
900	1093	120
901	1095	118
902	1096	117
903	1097	116
904	1098	115
905	1099	114
906	1100	112
907	1101	111
908	1102	110
909	1104	109
910	1105	108
911	1107	106
912	1108	105
913	1108	104
914	1109	103
915	1110	101
916	1111	100
917	1112	99
918	1113	98
919	1114	96
920	1114	95
921	1115	94
922	1117	93
923	1118	92
924	1119	90
925	1120	89
926	1121	88
927	1123	87
928	1124	85
929	1126	84
930	1127	83
931	1127	82
932	1128	81
933	1130	79
934	1131	78
935	1132	77
936	1134	76
937	1135	75
938	1136	73
939	1137	72
940	1138	71
941	1139	70
942	1140	68
943	1141	67
944	1146	66
945	1147	65
946	1148	64
947	1149	63
948	1150	61
949	1151	60
950	1153	59
951	1154	58
952	1155	56
953	1156	55
954	1157	54
955	1158	53
956	1159	52
957	1160	50
958	1161	49
959	1162	48
960	1163	47
961	1165	46
962	1166	44
963	1167	43
964	1168	42
965	1168	41
966	1169	39
967	1170	38
968	1171	37
969	1172	36
970	1173	35
971	1174	33
972	1176	32
973	1177	31
974	1178	30
975	1179	28
976	1180	27
977	1181	26
978	1182	25
979	1183	24
980	1183	22
981	1184	21
982	1185	20
983	1186	19
984	1187	18
985	1188	16
986	1189	15
987	1191	14
988	1192	13
989	1193	12
990	1194	10
991	1195	9
992	1195	8
993	1196	7
994	1197	6
995	1198	4
996	1199	3
997	1200	2
998	1201	1
999	1202	0
